233.7272,-11.7265,-324.8106
232.1453,-11.7225,-325.2718
230.5808,-11.7186,-325.7276
229.0413,-11.7146,-326.1769
227.5295,-11.7104,-326.6182
226.0442,-11.7060,-327.0507
224.5830,-11.7013,-327.4765
223.1404,-11.6962,-327.8972
221.7110,-11.6906,-328.3133
220.2916,-11.6845,-328.7270
218.8781,-11.6780,-329.1377
217.4705,-11.6712,-329.5489
216.0662,-11.6641,-329.9568
214.6658,-11.6568,-330.3656
213.2678,-11.6495,-330.7729
211.8717,-11.6420,-331.1787
210.4772,-11.6345,-331.5847
209.0833,-11.6268,-331.9907
207.6893,-11.6187,-332.3960
206.2953,-11.6102,-332.8019
204.9009,-11.6009,-333.2084
203.5058,-11.5909,-333.6151
202.1092,-11.5800,-334.0206
200.7124,-11.5682,-334.4283
199.3143,-11.5556,-334.8358
195.0259,-11.5142,-336.0844
193.5667,-11.4989,-336.5078
192.1058,-11.4827,-336.9345
190.6431,-11.4657,-337.3591
189.1797,-11.4479,-337.7852
187.7152,-11.4293,-338.2108
186.2501,-11.4101,-338.6371
184.7842,-11.3900,-339.0646
183.3169,-11.3689,-339.4901
181.8494,-11.3464,-339.9184
180.3801,-11.3223,-340.3444
178.9107,-11.2970,-340.7741
177.4392,-11.2708,-341.2007
175.9679,-11.2442,-341.6318
174.4940,-11.2176,-342.0588
173.0203,-11.1916,-342.4897
171.5453,-11.1661,-342.9196
170.0691,-11.1408,-343.3479
168.5924,-11.1153,-343.7777
167.1149,-11.0893,-344.2084
165.6357,-11.0626,-344.6364
164.1568,-11.0357,-345.0682
162.6758,-11.0081,-345.4958
161.1956,-10.9799,-345.9285
159.7129,-10.9503,-346.3570
158.2308,-10.9190,-346.7899
156.7477,-10.8857,-347.2220
155.2632,-10.8506,-347.6522
153.7785,-10.8140,-348.0853
152.2919,-10.7761,-348.5152
150.8059,-10.7376,-348.9500
149.3191,-10.6983,-349.3851
147.8301,-10.6586,-349.8160
146.3408,-10.6186,-350.2480
144.8521,-10.5781,-350.6842
143.3611,-10.5367,-351.1157
141.8708,-10.4940,-351.5516
140.3788,-10.4498,-351.9846
138.8866,-10.4044,-352.4200
137.3932,-10.3575,-352.8527
135.8997,-10.3097,-353.2888
134.4059,-10.2614,-353.7265
132.9095,-10.2131,-354.1587
131.4140,-10.1649,-354.5962
129.9162,-10.1164,-355.0284
128.4192,-10.0672,-355.4667
126.9197,-10.0176,-355.8990
125.4216,-9.9681,-356.3388
123.9219,-9.9191,-356.7769
122.4202,-9.8708,-357.2110
120.9186,-9.8233,-357.6488
119.4153,-9.7758,-358.0815
117.9133,-9.7274,-358.5206
116.4109,-9.6769,-358.9602
114.9056,-9.6239,-359.3924
113.4020,-9.5683,-359.8329
111.8956,-9.5101,-360.2669
110.3907,-9.4496,-360.7084
108.8849,-9.3881,-361.1498
107.3762,-9.3264,-361.5844
105.8686,-9.2650,-362.0264
104.3608,-9.2039,-362.4685
102.8518,-9.1426,-362.9023
101.3466,-9.0809,-363.3435
99.8406,-9.0182,-363.7761
98.3385,-8.9538,-364.2171
96.8353,-8.8880,-364.6496
95.3354,-8.8206,-365.0900
93.8333,-8.7512,-365.5231
92.3334,-8.6797,-365.9648
90.8302,-8.6068,-366.3982
89.3288,-8.5332,-366.8396
87.8243,-8.4593,-367.2727
86.3219,-8.3850,-367.7143
84.8161,-8.3097,-368.1466
83.3131,-8.2335,-368.5888
81.8096,-8.1562,-369.0308
80.3028,-8.0778,-369.4630
78.7987,-7.9982,-369.9057
77.2915,-7.9168,-370.3393
75.7869,-7.8343,-370.7825
74.2789,-7.7507,-371.2164
72.7736,-7.6665,-371.6608
71.2647,-7.5818,-372.0952
69.7582,-7.4960,-372.5391
68.2485,-7.4091,-372.9733
66.7413,-7.3211,-373.4174
65.2305,-7.2321,-373.8505
63.7226,-7.1419,-374.2949
62.2141,-7.0506,-374.7394
60.7016,-6.9580,-375.1718
59.1928,-6.8632,-375.6169
57.6800,-6.7663,-376.0493
56.1719,-6.6675,-376.4959
54.6662,-6.5675,-376.9413
53.1625,-6.4672,-377.3724
51.6714,-6.3671,-377.8139
50.1866,-6.2673,-378.2393
48.7161,-6.1685,-378.6749
47.2516,-6.0714,-379.0932
45.8019,-5.9756,-379.5211
44.1814,-5.8686,-379.9866
42.5795,-5.7605,-380.4601
40.9876,-5.6514,-380.9154
39.4141,-5.5412,-381.3820
37.8503,-5.4296,-381.8296
36.3045,-5.3172,-382.2891
34.7661,-5.2052,-382.7288
33.2443,-5.0947,-383.1794
31.7354,-4.9862,-383.6262
30.2351,-4.8791,-384.0518
28.7538,-4.7727,-384.4893
27.2873,-4.6659,-384.9224
25.8299,-4.5576,-385.3350
24.3906,-4.4481,-385.7602
22.8028,-4.3253,-386.2151
21.2364,-4.2015,-386.6829
19.6808,-4.0783,-387.1303
18.1447,-3.9566,-387.5883
16.6187,-3.8376,-388.0240
15.1086,-3.7207,-388.4557
13.6180,-3.6058,-388.8968
12.1440,-3.4925,-389.3344
10.6805,-3.3802,-389.7490
9.2391,-3.2682,-390.1758
7.6679,-3.1451,-390.6244
6.1210,-3.0222,-391.0840
4.5880,-2.8995,-391.5218
3.0790,-2.7774,-391.9709
1.5830,-2.6567,-392.3979
0.1110,-2.5370,-392.8367
-1.3484,-2.4192,-393.2505
-2.9127,-2.2921,-393.7162
-4.4598,-2.1656,-394.1535
-5.9777,-2.0391,-394.6030
-7.4728,-1.9126,-395.0467
-8.9512,-1.7865,-395.4627
-10.4018,-1.6615,-395.8916
-11.9541,-1.5280,-396.3315
